DateTime	java.lang:type=OperatingSystem__ProcessCpuTime
2012-07-26 15:00:12.382	568540000000
2012-07-26 15:08:44.082	909940000000
2012-07-26 15:09:14.182	937920000000
2012-07-26 15:09:44.282	966890000000
2012-07-26 15:10:14.381	995090000000
2012-07-26 15:10:44.481	1029970000000
2012-07-26 15:11:14.582	1058880000000
2012-07-26 15:11:44.682	1088310000000
2012-07-26 15:12:14.782	1116300000000
2012-07-26 15:12:44.882	1145080000000
2012-07-26 15:13:14.982	1172190000000
2012-07-26 15:13:45.082	1198620000000
2012-07-26 15:14:15.181	1224440000000
2012-07-26 15:14:45.281	1251430000000
2012-07-26 15:15:15.382	1278120000000
2012-07-26 15:15:45.482	1305960000000
2012-07-26 15:16:15.583	1332010000000
2012-07-26 15:16:45.682	1357900000000
2012-07-26 15:17:15.782	1385060000000
2012-07-26 15:17:45.882	1411590000000
2012-07-26 15:18:15.981	1439160000000
2012-07-26 15:18:46.081	1465520000000
2012-07-26 15:19:16.181	1491430000000
2012-07-26 15:19:46.282	1516750000000
2012-07-26 15:20:16.382	1542420000000
2012-07-26 15:20:46.482	1569530000000
2012-07-26 15:21:16.582	1596580000000
2012-07-26 15:21:46.682	1621820000000
2012-07-26 15:22:16.782	1648030000000
2012-07-26 15:22:46.881	1673230000000
2012-07-26 15:23:16.981	1700740000000
2012-07-26 15:23:47.081	1726420000000
2012-07-26 15:24:17.182	1752850000000
2012-07-26 15:24:47.282	1778590000000
2012-07-26 15:25:17.382	1804780000000
2012-07-26 15:25:47.482	1831460000000
2012-07-26 15:26:17.582	1858030000000
2012-07-26 15:26:47.682	1884760000000
2012-07-26 15:27:17.781	1911210000000
2012-07-26 15:27:47.881	1938700000000
2012-07-26 15:28:17.981	1965570000000
2012-07-26 15:28:48.082	1990370000000
2012-07-26 15:29:18.182	2016620000000
2012-07-26 15:29:48.283	2042130000000
2012-07-26 15:30:18.382	2067290000000
2012-07-26 15:30:48.482	2093730000000
2012-07-26 15:31:18.582	2118980000000
2012-07-26 15:31:48.681	2144410000000
2012-07-26 15:32:18.781	2170330000000
2012-07-26 15:32:48.882	2196910000000
2012-07-26 15:33:18.982	2222520000000
2012-07-26 15:33:49.082	2248130000000
2012-07-26 15:34:19.182	2274340000000
2012-07-26 15:34:49.282	2299970000000
2012-07-26 15:35:19.382	2325390000000
2012-07-26 15:35:49.481	2350800000000
2012-07-26 15:36:19.581	2377860000000
2012-07-26 15:36:49.682	2403250000000
2012-07-26 15:37:19.782	2428160000000
2012-07-26 15:37:49.882	2454340000000
2012-07-26 15:38:19.982	2478740000000
2012-07-26 15:38:50.082	2505620000000
2012-07-26 15:39:20.182	2532470000000
2012-07-26 15:39:50.282	2557160000000
2012-07-26 15:40:20.381	2583750000000
2012-07-26 15:40:50.481	2608230000000
2012-07-26 15:41:20.582	2633310000000
2012-07-26 15:41:50.682	2659420000000
2012-07-26 15:42:20.783	2685260000000
2012-07-26 15:42:50.882	2710370000000
2012-07-26 15:43:20.982	2736340000000
2012-07-26 15:43:51.082	2762810000000
2012-07-26 15:44:21.181	2787520000000
2012-07-26 15:44:51.281	2813740000000
2012-07-26 15:45:21.381	2839850000000
2012-07-26 15:45:51.482	2865680000000
2012-07-26 15:46:21.582	2891580000000
2012-07-26 15:46:51.682	2917150000000
2012-07-26 15:47:21.782	2944110000000
2012-07-26 15:47:51.882	2969760000000
2012-07-26 15:48:21.982	2996550000000
2012-07-26 15:48:52.082	3022870000000
2012-07-26 15:49:22.182	3048120000000
2012-07-26 15:49:52.282	3074750000000
2012-07-26 15:50:22.382	3099090000000
2012-07-26 15:50:52.482	3123880000000
2012-07-26 15:51:22.582	3149150000000
2012-07-26 15:51:52.682	3174030000000
2012-07-26 15:52:22.782	3199260000000
2012-07-26 15:52:52.882	3225470000000
2012-07-26 15:53:22.981	3249710000000
2012-07-26 15:53:53.081	3275040000000
2012-07-26 15:54:23.182	3300180000000
2012-07-26 15:54:53.282	3326810000000
2012-07-26 15:55:23.382	3351700000000
2012-07-26 15:55:53.483	3376470000000
2012-07-26 15:56:23.582	3401910000000
2012-07-26 15:56:53.682	3428700000000
2012-07-26 15:57:23.781	3454520000000
2012-07-26 15:57:53.881	3480440000000
2012-07-26 15:58:23.982	3505710000000
2012-07-26 15:58:54.082	3531690000000
2012-07-26 15:59:24.182	3557020000000
2012-07-26 15:59:54.282	3582280000000
2012-07-26 16:00:24.382	3610000000000
2012-07-26 16:00:54.482	3634220000000
2012-07-26 16:01:24.581	3660430000000
2012-07-26 16:01:54.681	3686720000000
2012-07-26 16:02:24.781	3712630000000
2012-07-26 16:02:54.882	3737360000000
2012-07-26 16:03:24.982	3763210000000
2012-07-26 16:03:55.082	3788520000000
2012-07-26 16:04:25.182	3813760000000
2012-07-26 16:04:55.282	3839710000000
2012-07-26 16:05:25.381	3865260000000
2012-07-26 16:05:55.481	3890820000000
2012-07-26 16:06:25.582	3915610000000
2012-07-26 16:06:55.682	3940950000000
2012-07-26 16:07:25.782	3966590000000
2012-07-26 16:07:55.882	3991130000000
2012-07-26 16:08:25.982	4013010000000
2012-07-26 16:08:56.082	4033770000000
2012-07-26 16:09:26.182	4049900000000
2012-07-26 16:09:56.281	4061490000000
2012-07-26 16:10:26.381	4068620000000
2012-07-26 16:10:56.482	4073100000000
2012-07-26 16:11:26.582	4074760000000
2012-07-26 16:11:56.682	4075170000000
2012-07-26 16:12:26.782	4075300000000
2012-07-26 16:12:56.882	4075410000000
2012-07-26 16:13:26.982	4075550000000
2012-07-26 16:13:57.082	4075760000000
2012-07-26 16:14:27.181	4075870000000
2012-07-26 16:14:57.282	4076000000000
2012-07-26 16:15:27.383	4076140000000
2012-07-26 16:15:57.482	4077010000000
2012-07-26 16:16:27.582	4078700000000
2012-07-26 16:16:57.682	4081100000000
2012-07-26 16:17:27.782	4084440000000
2012-07-26 16:17:57.882	4089210000000
2012-07-26 16:18:27.981	4095280000000
2012-07-26 16:18:58.081	4103800000000
2012-07-26 16:19:28.182	4112900000000
2012-07-26 16:19:58.282	4123890000000
2012-07-26 16:20:28.382	4136290000000
2012-07-26 16:20:58.482	4151150000000
2012-07-26 16:21:28.582	4165850000000
2012-07-26 16:21:58.683	4183350000000
2012-07-26 16:22:28.781	4202390000000
2012-07-26 16:22:58.881	4222600000000
2012-07-26 16:23:28.982	4244230000000
2012-07-26 16:23:59.082	4267370000000
2012-07-26 16:24:29.182	4290260000000
2012-07-26 16:24:59.282	4315480000000
2012-07-26 16:25:29.382	4340920000000
2012-07-26 16:25:59.482	4366770000000
2012-07-26 16:26:29.582	4392390000000
2012-07-26 16:26:59.681	4420210000000
2012-07-26 16:27:29.781	4444810000000
2012-07-26 16:27:59.882	4472070000000
2012-07-26 16:28:29.983	4498390000000
2012-07-26 16:29:00.082	4526180000000
2012-07-26 16:29:30.182	4551620000000
2012-07-26 16:30:00.282	4578050000000
2012-07-26 16:30:30.382	4604570000000
2012-07-26 16:31:00.481	4632710000000
2012-07-26 16:31:30.581	4657740000000
2012-07-26 16:32:00.681	4685770000000
2012-07-26 16:32:30.782	4714310000000
2012-07-26 16:33:00.882	4741070000000
2012-07-26 16:33:30.982	4768400000000
2012-07-26 16:34:01.082	4795860000000
2012-07-26 16:34:31.182	4823600000000
2012-07-26 16:35:01.283	4849450000000
2012-07-26 16:35:31.381	4876620000000
2012-07-26 16:36:01.482	4904800000000
2012-07-26 16:36:31.582	4931170000000
2012-07-26 16:37:01.682	4956130000000
2012-07-26 16:37:31.782	4983190000000
2012-07-26 16:38:01.882	5024460000000
2012-07-26 16:38:31.982	5041620000000
2012-07-26 16:39:02.082	5067380000000
2012-07-26 16:39:32.181	5091010000000
2012-07-26 16:40:02.281	5117600000000
2012-07-26 16:40:32.382	5143960000000
2012-07-26 16:41:02.482	5169590000000
2012-07-26 16:41:32.584	5194220000000
2012-07-26 16:42:02.683	5219870000000
2012-07-26 16:42:32.782	5244320000000
2012-07-26 16:43:02.882	5270400000000
2012-07-26 16:43:32.982	5295020000000
2012-07-26 16:44:03.081	5319670000000
2012-07-26 16:44:33.839	5345410000000
2012-07-26 16:45:03.882	5371200000000
2012-07-26 16:45:33.982	5395410000000
2012-07-26 16:46:04.082	5421150000000
2012-07-26 16:46:34.182	5446520000000
2012-07-26 16:47:04.282	5470600000000
2012-07-26 16:47:34.383	5497540000000
2012-07-26 16:48:04.481	5522800000000
2012-07-26 16:48:34.581	5548400000000
2012-07-26 16:49:04.682	5573110000000
2012-07-26 16:49:34.782	5598600000000
2012-07-26 16:50:04.882	5623570000000
2012-07-26 16:50:34.982	5649120000000
2012-07-26 16:51:05.082	5675080000000
2012-07-26 16:51:35.182	5701600000000
2012-07-26 16:52:05.282	5731190000000
2012-07-26 16:52:35.381	5756540000000
2012-07-26 16:53:05.481	5782520000000
2012-07-26 16:53:35.582	5809510000000
