DateTime;cpu usage percent
2012/07/26 17:14:10.082;87.641
2012/07/26 17:14:40.182;84.12
2012/07/26 17:15:10.282;88.738
2012/07/26 17:15:40.382;85.567
2012/07/26 17:16:10.604;87.107
2012/07/26 17:16:40.682;84.82
2012/07/26 17:17:10.781;85.512
2012/07/26 17:17:40.882;82.89
2012/07/26 17:18:10.982;85.415
2012/07/26 17:18:41.082;85.316
2012/07/26 17:19:11.182;86.01
2012/07/26 17:19:41.283;87.934
2012/07/26 17:20:11.692;80.459
2012/07/26 17:20:41.782;89.136
2012/07/26 17:21:11.882;83.059
2012/07/26 17:21:41.981;88.571
2012/07/26 17:22:12.081;82.655
2012/07/26 17:22:42.182;94.551
2012/07/26 17:23:12.282;91.794
2012/07/26 17:23:42.382;84.12
2012/07/26 17:24:12.482;89.535
2012/07/26 17:24:42.582;82.157
2012/07/26 17:25:12.683;66.882
2012/07/26 17:25:42.781;57.506
2012/07/26 17:26:12.882;42.889
2012/07/26 17:26:42.983;28.539
2012/07/26 17:27:13.082;15.581
2012/07/26 17:27:43.182;7.375
2012/07/26 17:28:13.282;1.429
2012/07/26 17:28:43.382;0.498
2012/07/26 17:29:13.482;0.399
2012/07/26 17:29:43.582;0.465
2012/07/26 17:30:13.682;0.764
2012/07/26 17:30:43.781;0.498
2012/07/26 17:31:13.882;0.365
2012/07/26 17:31:43.982;0.465
2012/07/26 17:32:14.082;0.432
2012/07/26 17:32:44.182;0.731
2012/07/26 17:33:14.283;0.432
2012/07/26 17:33:44.382;0.465
2012/07/26 17:34:14.481;0.432
2012/07/26 17:34:44.581;0.365
2012/07/26 17:35:14.682;0.664
2012/07/26 17:35:44.782;0.432
2012/07/26 17:36:14.882;0.432
2012/07/26 17:36:44.983;0.432
2012/07/26 17:37:15.082;0.498
