datetime	web1 bytes rate
2011/04/22 17:23:00	26742885.433
2011/04/22 17:23:30	27016118.533
2011/04/22 17:24:00	28266657.033
2011/04/22 17:24:30	27652079.933
2011/04/22 17:25:00	28890010.667
2011/04/22 17:25:30	28021619.7
2011/04/22 17:26:00	25732858.333
2011/04/22 17:26:30	29319933.4
2011/04/22 17:27:00	26769878.3
2011/04/22 17:27:30	30112407.5
2011/04/22 17:28:00	26930373.433
2011/04/22 17:28:30	28624956.867
2011/04/22 17:29:00	28784928.4
2011/04/22 17:29:30	25576139.7
2011/04/22 17:30:00	28615598.4
2011/04/22 17:30:30	26193603.833
2011/04/22 17:31:00	26890566.933
2011/04/22 17:31:30	28525987.867
2011/04/22 17:32:00	27413875.967
2011/04/22 17:32:30	29691313.4
2011/04/22 17:33:00	27266282.7
2011/04/22 17:33:30	29564384.2
2011/04/22 17:34:00	27663251.2
2011/04/22 17:34:30	27461598.3
2011/04/22 17:35:00	28069552.933
2011/04/22 17:35:30	27466226.067
2011/04/22 17:36:00	26565318.567
2011/04/22 17:36:30	28187700.733
2011/04/22 17:37:00	26396839.633
2011/04/22 17:37:30	29374298.1
2011/04/22 17:38:00	26902335.033
2011/04/22 17:38:30	26796665.1
2011/04/22 17:39:00	28695116.9
2011/04/22 17:39:30	25632964.533
2011/04/22 17:40:00	28304072.833
2011/04/22 17:40:30	26200025.533
2011/04/22 17:41:00	27941311.767
2011/04/22 17:41:30	28307647.033
2011/04/22 17:42:00	21310432.733
2011/04/22 17:42:30	17191101.967
2011/04/22 17:43:00	15795144.567
2011/04/22 17:43:30	17667760.967
2011/04/22 17:44:00	16473086.967
2011/04/22 17:44:30	15315708.2
2011/04/22 17:45:00	15217437.333
2011/04/22 17:45:30	14795785.233
2011/04/22 17:46:00	16842373.4
2011/04/22 17:46:30	17047491
2011/04/22 17:47:00	17011862.9
2011/04/22 17:47:30	16441487.9
2011/04/22 17:48:00	15643482.533
2011/04/22 17:48:30	15464801.133
2011/04/22 17:49:00	16141731.8
2011/04/22 17:49:30	16369333
2011/04/22 17:50:00	17467943.4
2011/04/22 17:50:30	15692774.467
2011/04/22 17:51:00	16787503.633
2011/04/22 17:51:30	14326296.9
2011/04/22 17:52:00	14992114.3
2011/04/22 17:52:30	17047413.467
2011/04/22 17:53:00	16127257.3
2011/04/22 17:53:30	10452977.767
2011/04/22 17:54:00	8302326.6
2011/04/22 17:54:30	8858792.267
2011/04/22 17:55:00	6413424.7
2011/04/22 17:55:30	6470160.633
2011/04/22 17:56:00	6555855.233
2011/04/22 17:56:30	6885869.467
2011/04/22 17:57:00	7786842.233
2011/04/22 17:57:30	7724260.833
2011/04/22 17:58:00	6964150.233
2011/04/22 17:58:30	7071013.867
2011/04/22 17:59:00	6656376
2011/04/22 17:59:30	7925953.633
2011/04/22 18:00:00	6287040.467
2011/04/22 18:00:30	7328285.367
2011/04/22 18:01:00	7785048.533
2011/04/22 18:01:30	6497917.6
2011/04/22 18:02:00	6600608
2011/04/22 18:02:30	5838035.467
2011/04/22 18:03:00	5579622.967
2011/04/22 18:03:30	6179279.967
2011/04/22 18:04:00	7164960.733
2011/04/22 18:04:30	7506010.233
2011/04/22 18:05:00	9208260.967
2011/04/22 18:05:30	6969923.167
2011/04/22 18:06:00	6484618.233
2011/04/22 18:06:30	5967886.3
2011/04/22 18:07:00	6123433.733
2011/04/22 18:07:30	6856420.7
2011/04/22 18:08:00	7755486.667
2011/04/22 18:08:30	8068587.467
2011/04/22 18:09:00	6822303.567
2011/04/22 18:09:30	6955314.1
2011/04/22 18:10:00	6699281.267
2011/04/22 18:10:30	6559208.467
2011/04/22 18:11:00	7379939
2011/04/22 18:11:30	6875006.267
2011/04/22 18:12:00	5395811.467
2011/04/22 18:12:30	4421697.167
2011/04/22 18:13:00	2929236.467
2011/04/22 18:13:30	2365422.867
2011/04/22 18:14:00	2252040.933
2011/04/22 18:14:30	1122662.967
2011/04/22 18:15:00	468083.833
2011/04/22 18:15:30	318987.967
2011/04/22 18:16:00	91882.567
2011/04/22 18:16:30	3618.767
