datetime	www status 204 hit count	www status 304 hit count	www status 206 hit count	www status 200 hit count	www status 500 hit count	www status 403 hit count	www status 301 hit count	www status 302 hit count	www status 404 hit count
2009/08/31 02:00:00	68	57	3	1020				9	14
2009/09/01 02:00:00	53	88	14	1132					12
2009/09/02 02:00:00	82	171	4	1238					13
2009/09/03 02:00:00	44	75	2	862					5
2009/09/04 02:00:00	30	57	2	788					8
2009/09/05 02:00:00	26	11	2	816					13
2009/09/06 02:00:00	23	41		732					10
2009/09/07 02:00:00	39	89		882				8	7
2009/09/08 02:00:00	48	71	2	861					10
2009/09/09 02:00:00	96	186	8	774					10
2009/09/10 02:00:00	22	87	1	539					8
2009/09/11 02:00:00	25	40		610					5
2009/09/12 02:00:00	9	5		161					7
2009/09/13 02:00:00	20	19		279					8
2009/09/14 02:00:00	40	76	5	858				7	11
2009/09/15 02:00:00	81	127	1	1050				10	13
2009/09/16 02:00:00	91	194	1	672					7
2009/09/17 02:00:00	26	9	2	610					6
2009/09/18 02:00:00	15	6		419					5
2009/09/19 02:00:00	28	57		311					7
2009/09/20 02:00:00	75	77	2	1099					8
2009/09/21 02:00:00	60	166	2	501					8
2009/09/22 02:00:00	55	76	3	302					10
2009/09/23 02:00:00	67	39	6	644				9	7
2009/09/24 02:00:00	74	130	3	966					82
2009/09/25 02:00:00	42	124	2	383					6
2009/09/26 02:00:00	26	37		279					23
2009/09/27 02:00:00	92	1464		941				81	8
2009/09/28 02:00:00	234	326	9	2187					17
2009/09/29 02:00:00	69	35	5	1062					20
2009/09/30 02:00:00	36	95	42	462					41
2009/10/01 02:00:00	54	72	4	638					66
2009/10/02 02:00:00	84	103	2	767					11
2009/10/03 02:00:00	148	14	3	1513					13
2009/10/04 02:00:00	112	75	3	1409				4	11
2009/10/05 02:00:00	40	152		800					7
2009/10/06 02:00:00	124	165	8	1342	2				17
2009/10/07 02:00:00	134	66	3	1035				19	7
2009/10/08 02:00:00	81	158	4	826					10
2009/10/09 02:00:00	14	21	2	397					7
2009/10/10 02:00:00	119	104	1	678				37	12
2009/10/11 02:00:00	58	23	10	540				2	10
2009/10/12 02:00:00	48	61	4	767					10
2009/10/13 02:00:00	44	9	2	668					7
2009/10/14 02:00:00	106	139	2	1032				9	17
2009/10/15 02:00:00	59	231	3	1075					8
